title,summary,keywords,score
Unveiling the Potential of Diffusion Large Language Models in Software Engineering Tasks: An Empirical Study,"This paper evaluates Diffusion Large Language Models (DLLMs) across software engineering tasks like code generation, defect detection, and program repair, comparing them to autoregressive LLMs. On a large benchmark of 52,937 tasks, 7B-parameter DLLMs achieved a 30% average accuracy improvement over AR-LLMs, with 113% gain on cross-file repair and better efficiency. The results suggest DLLMs are a superior paradigm for software engineering tasks.",Diffusion Large Language Models; software engineering; code generation; defect detection; program repair,2
MAJIT: Just-in-Time Detection of Compatibility Issues in Android and iOS Apps through Large Language Model-based Multi-Agent Collaboration,"This paper presents MAJIT, a multi-agent system using large language models to detect compatibility issues in Android and iOS apps just-in-time during code changes. It achieves over 96% precision and recall for system version, device, and screen size compatibility issues.",multi-agent system; compatibility detection; Android; iOS; large language model,1
Atomizer: An LLM-based Collaborative Multi-Agent Framework for Intent-Driven Commit Untangling,"Atomizer is a multi-agent framework that uses large language models to untangle composite commits in software development by inferring the semantic intent of code changes. It employs an Intent-Oriented Chain-of-Thought strategy and a grouper-reviewer refinement loop to iteratively improve groupings. The method outperforms existing graph-based approaches, especially on complex commits, by over 6% on C# and 5.5% on Java datasets.",commit untangling; multi-agent framework; large language models; semantic intent; software maintenance,4
ConfLogger: Enhance Systems' Configuration Diagnosability through Configuration Logging,"This paper introduces ConfLogger, a tool that improves the diagnosability of configuration-related issues in software systems by combining static taint analysis with LLM-based log generation. It automatically identifies configuration-sensitive code and generates diagnostic log statements, achieving 100% accuracy in error localization for silent misconfigurations and significantly outperforming existing methods in logging coverage and diagnostic value.",configuration logging; software diagnosability; static taint analysis; LLM-based log generation; misconfiguration detection,1
Context-Free Grammar Inference for Complex Programming Languages in Black Box Settings,"This paper presents Crucio, a new method for inferring context-free grammars for complex programming languages like C, C++, and Java, where existing tools fail to finish within 48 hours. Crucio uses a decomposition forest and distributional matrix to efficiently extract short examples for lexical and grammar inference, achieving successful grammar inference with up to 17× more nonterminals than prior benchmarks and improving recall and F1 scores over previous methods.",grammar inference; context-free grammar; programming languages; black box learning; decomposition forest,0
LoopSCC: Summarizing Complex Multi-branch Nested Loops via Periodic Oscillation Interval,"This paper presents LoopSCC, a tool that summarizes complex multi-branch nested loops by constructing an SPath Graph and collapsing strongly connected components into acyclic graphs. It introduces oscillation intervals to model irregular jumps between loop branches, enabling precise summarization of loop behavior for symbolic analysis. The tool achieves 100% precision on various loop types and discovered 18 new vulnerabilities in IoT projects.",loop summarization; symbolic execution; static analysis; control flow complexity; vulnerability detection,2
Efficient Strong Updates For Path Sensitive Data Dependence Analysis,"This paper improves the efficiency of path-sensitive data dependence analysis, which is used for static vulnerability detection. It speeds up the process by handling most cases with efficient must-kill relation inference and reserving complex path-sensitive analysis for difficult cases. The main result is significant speed-ups and improved state coverage in static analysis.",data dependence analysis; path-sensitive analysis; strong updates; static vulnerability detection; load-store matching,1
"Change And Cover: Last-Mile, Pull Request-Based Regression Test Augmentation","This paper presents ChaCo, an LLM-based tool that automatically generates regression tests for code changed in pull requests, targeting the 'last-mile' gap where modified lines remain untested. It extracts relevant test context, generates well-integrated tests, and achieves full patch coverage for 30% of PRs at low cost. Human reviewers rated the tests highly, and several submitted tests were merged, including two that uncovered previously unknown bugs.",regression test augmentation; pull request testing; LLM-based test generation; patch coverage; continuous integration,1
Relax with Capybaras,"This is a placeholder slot in a conference program, offering attendees capybara-themed relaxation instead of a technical presentation. It has no research content or results.",presentation slot; conference program; capybara; relaxation; empty slot,0
"One Signature, Multiple Payments: Demystifying and Detecting Signature Replay Vulnerabilities in Smart Contracts","This paper investigates signature replay vulnerabilities in smart contracts, where missing checks on signature usage conditions allow repeated verifications leading to permission abuse and asset loss. The authors develop LASiR, a tool combining LLM-based semantic analysis with static taint analysis and symbolic execution to automatically detect such vulnerabilities. In a large-scale study across four blockchains, they find SRVs are widespread, affecting contracts holding $4.76 million in active assets, and LASiR achieves an F1-score of 87.90%.",smart contracts; signature replay vulnerability; LLM-assisted detection; static taint analysis; blockchain security,1
USCSA: Evolution-Aware Security Analysis for Proxy-Based Upgradeable Smart Contracts,"This paper introduces USCSA, a tool that analyzes security risks in upgradeable smart contracts by comparing code changes across versions using Abstract Syntax Tree (AST) differences and large language models (LLMs). It detects vulnerabilities like reentrancy and access control flaws with high precision (92.26%) and recall (89.67%). The main result is a novel solution for auditing blockchain contract upgrades.",smart contract; blockchain security; upgradeable contracts; vulnerability detection; AST analysis,0
